月份,水果名,数量,单价,金额
202101,苹果,65,2.3,149.50
202102,苹果,101,2.3,232.30
202103,苹果,113,2.5,282.50
202104,苹果,145,2.5,362.50
202105,苹果,145,2.5,362.50
202106,苹果,167,2.8,467.60
202107,苹果,203,2.8,568.40
202108,苹果,255,2.9,739.50
202109,苹果,202,3.1,626.20
202101,香蕉,180,3.5,630.00
202102,香蕉,201,3.5,703.50
202103,香蕉,223,3.5,780.50
202104,香蕉,254,3.9,990.60
202105,香蕉,267,3.9,1041.30
202106,香蕉,213,4.4,937.20
202107,香蕉,280,4.4,1232.00
202108,香蕉,310,4.4,1364.00
202109,香蕉,300,4.5,1350.00
202101,西瓜,400,3.8,1520.00
202102,西瓜,450,3.8,1710.00
202103,西瓜,481,3.5,1683.50
202104,西瓜,495,3.5,1732.50
202105,西瓜,580,3.2,1856.00
202106,西瓜,610,3.2,1952.00
202107,西瓜,688,2.5,1720.00
202108,西瓜,753,1.8,1355.40
202109,西瓜,800,2.0,1600.00
